Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
Number of patients with claims	"234,258"	"254,703"	"278,720"	"303,667"	"324,830"	"341,993"	"358,617"	"370,522"	"379,338"	"387,793"	"395,700"	"405,560"	"410,753"	"418,930"	"424,351"	"427,765"	"430,668"	"430,944"	"427,565"	"421,677"			
00000	25	25	55	77	72	87	56	131	50	26	#	#	#	#	#	#	#	#	#	#			
00001	27	16	11	#	165	152	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00002	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00003	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00004	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00006	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00007	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00008	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00009	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00010	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00011	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00012	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00015	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00017	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00019	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00022	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00030	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00032	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00055	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00065	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00066	21	27	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00070	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00071	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00072	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00090	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00091	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00092	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00093	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00100	372	248	184	218	131	145	117	94	102	98	98	88	96	110	118	111	115	108	86	104			
00101	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00102	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00103	114	158	149	214	263	546	681	804	875	942	970	1117	1181	1228	1153	1195	1230	1259	1221	1213			
00104	152	141	162	169	177	167	170	173	171	157	153	169	150	169	157	151	170	168	153	145			
00105	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00107	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00108	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00110	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00111	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00120	111	133	131	157	152	146	142	137	132	125	140	135	122	132	144	133	135	123	147	161			
00124	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00126	21	15	20	24	43	57	69	60	56	60	82	81	81	71	90	75	85	82	101	81			
00127	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00129	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00130	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00140	924	901	991	1160	1328	1164	1148	1113	1134	1091	1171	1190	1217	1297	1285	1203	1341	1459	1396	1459			
00141	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00142	9187	9591	10809	12593	13558	14482	14828	14726	14943	15070	15587	15339	15443	15740	16111	15560	15392	15654	15272	15222			
00144	103	102	116	139	140	151	146	185	169	214	215	215	220	222	219	204	216	241	182	199			
00145	427	480	514	570	672	723	750	781	816	818	854	893	858	924	882	831	872	895	946	914			
00147	#	#	11	#	#	#	#	#	#	#	14	#	14	#	22	17	#	13	#	#			
00148	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00150	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00157	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00159	#	#	#	#	#	#	#	#	28	16	#	#	#	#	#	#	#	#	#	#			
00160	280	261	299	330	352	373	404	408	409	412	439	490	465	513	497	519	498	485	537	501			
00162	25	24	17	12	11	16	#	13	#	#	#	#	#	#	#	#	#	#	16	#			
00164	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00170	194	206	217	227	222	259	219	221	225	248	227	248	227	223	223	254	228	206	215	184			
00172	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00174	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00175	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00176	#	#	#	#	#	#	#	#	#	#	11	#	#	#	16	14	16	#	18	14			
00190	35	54	65	62	74	68	77	76	68	88	86	98	113	84	93	91	117	118	112	114			
00192	#	17	11	#	18	15	11	15	11	14	#	11	12	18	23	21	20	22	22	21			
00200	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00204	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00206	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00210	95	107	148	170	190	235	277	278	316	333	292	295	328	338	367	366	406	368	388	415			
00211	#	#	#	#	#	#	#	#	#	#	63	91	75	88	95	105	97	92	101	113			
00212	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00213	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00214	21	25	42	47	48	45	74	63	67	79	63	79	69	44	66	90	71	67	73	65			
00215	#	#	#	#	#	#	#	#	#	#	#	11	12	12	16	#	12	12	14	15			
00216	23	24	33	31	29	29	30	26	33	26	21	30	49	40	28	32	23	19	33	28			
00218	25	22	20	24	37	35	30	27	25	26	14	#	18	22	#	#	#	#	#	#			
00220	22	41	46	57	42	60	82	86	110	100	80	99	88	80	64	86	81	87	88	93			
00222	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00230	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00250	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00253	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00257	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00270	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00272	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00274	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00280	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00283	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00287	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00300	211	577	768	962	1081	1125	1260	1351	1276	1360	1471	1512	1631	1631	1665	1626	1557	1651	1488	1519			
00310	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00320	453	715	816	1009	1039	1231	1225	1240	1275	1392	1389	1443	1438	1470	1462	1425	1335	1318	1271	1258			
00321	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00322	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00326	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00330	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00340	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00350	337	411	428	508	526	491	488	465	473	425	419	363	410	395	374	346	317	285	279	266			
00352	60	63	90	78	120	114	121	92	111	122	117	127	111	136	133	133	109	113	127	96			
00353	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00359	#	#	#	12	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00371	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00378	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00397	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00400	6210	14684	16305	16892	16366	16524	16828	16413	16369	16190	15778	15096	15390	15176	16150	14487	14068	14067	13547	6871			
00402	332	821	1119	1299	1481	1615	1662	1786	2123	2347	2776	3034	3282	3738	3972	4259	4347	4437	4320	3554			
00404	3357	9091	9673	9588	8596	8157	8066	7967	7203	6681	6372	5937	5379	5297	3117	2550	2355	2056	1709	652			
00406	84	294	226	223	239	285	221	168	124	132	97	136	121	94	72	64	59	60	46	16			
