                                    CPT      15:51 Tuesday, July 5, 2022   1

                            hcpcs    breast2016

                            19380       1690   
                            19357       1448   
                            19340       1281   
                            11970       1062   
                            19371       1031   
                            19342       1006   
                            19316        788   
                            19283        717   
                            19328        660   
                            19350        638   
                            19370        599   
                            93702        599   
                            19499        520   
                            77058        507   
                            19286        424   
                            81212        419   
                            19296        388   
                            11921        369   
                            38740        325   
                            19297        316   
                            38790        295   
                            19086        279   
                            77469        273   
                            19126        252   
                            77424        252   
                            19361        239   
                            11971        223   
                            19330        223   
                            19364        213   
                            19325        179   
                            64462        174   
                            11922        163   
                            28750        162   
                            15877        156   
                            19304        142   
                            83498        122   
                            19287        119   
                            58561        105   
                            77317        102   
                            15770        101   
                            38530        101   
                            19305         98   
                            57283         97   
                            58262         91   
                            38308         84   
                            15839         82   
                            11920         81   
                            82120         80   
                            19110         79   
                                    CPT      15:51 Tuesday, July 5, 2022   2

                            hcpcs    breast2016

                            88150         75   
                            87140         73   
                            21554         71   
                            52265         70   
                            19298         68   
                            28740         68   
                            11954         67   
                            52260         67   
                            27687         66   
                            28298         65   
                            56620         65   
                            57522         65   
                            84078         64   
                            19001         63   
                            29584         63   
                            56501         63   
                            64435         63   
                            64646         63   
                            27137         62   
                            58548         62   
                            58563         62   
                            86789         62   
                            15200         61   
                            77772         61   
                            78494         61   
                            00406         60   
                            25290         60   
                            88143         60   
                            22216         59   
                            57455         59   
                            58573         59   
                            28297         58   
                            82415         58   
                            84228         58   
                            90717         57   
                            97034         57   
                            25075         56   
                            32609         56   
                            81265         56   
                            57287         55   
                            56821         53   
                            28290         52   
                            95832         52   
                            00906         51   
                            28293         51   
                            92065         50   
                            19284         49   
                            28485         49   
                            28310         48   
                                    CPT      15:51 Tuesday, July 5, 2022   3

                            hcpcs    breast2016

                            28725         48   
                            64446         48   
                            26210         47   
                            77053         47   
                            66852         46   
                            76120         46   
                            12036         45   
                            19367         45   
                            27760         45   
                            58953         45   
                            90868         45   
                            21558         44   
                            43644         44   
                            57295         44   
                            58542         44   
                            62302         44   
                            81503         44   
                            92260         44   
                            29126         43   
                            29825         43   
                            19260         42   
                            21600         42   
                            28118         42   
                            60252         42   
                            64505         42   
                            90690         42   
                            00640         41   
                            60512         41   
                            86336         41   
                            90867         41   
                            28755         40   
                            21026         39   
                            25210         39   
                            67311         39   
                            01382         38   
                            20982         38   
                            28300         38   
                            71130         38   
                            76930         38   
                            81281         38   
                            95180         38   
                            19030         37   
                            28450         37   
                            58301         37   
                            60210         37   
                            67880         37   
                            69145         37   
                            78020         37   
                            86343         37   
                                    CPT      15:51 Tuesday, July 5, 2022   4

                            hcpcs    breast2016

                            93304         37   
                            95865         37   
                            27514         36   
                            28306         36   
                            28515         36   
                            43774         36   
                            57061         36   
                            65780         36   
                            80400         36   
                            86353         36   
                            28160         35   
                            63044         35   
                            81373         35   
                            87253         35   
                            88199         35   
                            90375         35   
                            92620         35   
                            95144         35   
                            96153         35   
                            01474         34   
                            20660         34   
                            21320         34   
                            26440         34   
                            57800         34   
                            82160         34   
                            83873         34   
                            83885         34   
                            87290         34   
                            87541         34   
                            95805         34   
                            95864         34   
                            25118         33   
                            27788         33   
                            27840         33   
                            28645         33   
                            60260         33   
                            82634         33   
                            83491         33   
                            92603         33   
                            95079         33   
                            95852         33   
                            95873         33   
                            15736         32   
                            23405         32   
                            27650         32   
                            27654         32   
                            27823         32   
                            29821         32   
                            29873         32   
                                    CPT      15:51 Tuesday, July 5, 2022   5

                            hcpcs    breast2016

                            42826         32   
                            67314         32   
                            72127         32   
                            81268         32   
                            87280         32   
                            24600         31   
                            24670         31   
                            28011         31   
                            28045         31   
                            28126         31   
                            57280         31   
                            77407         31   
                            78496         31   
                            81217         31   
                            81264         31   
                            87110         31   
                            21557         30   
                            25071         30   
                            26605         30   
                            27327         30   
                            41110         30   
                            45560         30   
                            58954         30   
                            64719         30   
                            70542         30   
                            81267         30   
                            82696         30   
                            84135         30   
                            87169         30   
                            87490         30   
                            90473         30   
                            95145         30   
                            01202         29   
                            01260         29   
                            12037         29   
                            26080         29   
                            28008         29   
                            35206         29   
                            37785         29   
                            56420         29   
                            57268         29   
                            58300         29   
                            60300         29   
                            61799         29   
                            63012         29   
                            64704         29   
                            68326         29   
                            72130         29   
                            73202         29   
                                    CPT      15:51 Tuesday, July 5, 2022   6

                            hcpcs    breast2016

                            77425         29   
                            78808         29   
                            84120         29   
                            86622         29   
                            86638         29   
                            95941         29   
                            96542         29   
                            23020         28   
                            25630         28   
                            28039         28   
                            36500         28   
                            37195         28   
                            42104         28   
                            62290         28   
                            64463         28   
                            65436         28   
                            67335         28   
                            81315         28   
                            87279         28   
                            17108         27   
                            26615         27   
                            27495         27   
                            30130         27   
                            30300         27   
                            67400         27   
                            81246         27   
                            81377         27   
                            83593         27   
                            84138         27   
                            86625         27   
                            87530         27   
                            88174         27   
                            90749         27   
                            99241         27   
                            15570         26   
                            25650         26   
                            27062         26   
                            28715         26   
                            35471         26   
                            38206         26   
                            58210         26   
                            67110         26   
                            72295         26   
                            80176         26   
                            81332         26   
                            82943         26   
                            83070         26   
                            86602         26   
                            87498         26   
                                    CPT      15:51 Tuesday, July 5, 2022   7

                            hcpcs    breast2016

                            95017         26   
                            95028         26   
                            00872         25   
                            01464         25   
                            01486         25   
                            19288         25   
                            24546         25   
                            25116         25   
                            25530         25   
                            26121         25   
                            27702         25   
                            28060         25   
                            28119         25   
                            28430         25   
                            29870         25   
                            29884         25   
                            29898         25   
                            31239         25   
                            49550         25   
                            56515         25   
                            57520         25   
                            58570         25   
                            62273         25   
                            64645         25   
                            66185         25   
                            75563         25   
                            77799         25   
                            81407         25   
                            82585         25   
                            87451         25   
                            87592         25   
                            88372         25   
                            95148         25   
                            00635         24   
                            12006         24   
                            15847         24   
                            17266         24   
                            20103         24   
                            20500         24   
                            20525         24   
                            20999         24   
                            26040         24   
                            26525         24   
                            27438         24   
                            27870         24   
                            57110         24   
                            58110         24   
                            58999         24   
                            61313         24   
                                    CPT      15:51 Tuesday, July 5, 2022   8

                            hcpcs    breast2016

                            63620         24   
                            64727         24   
                            66983         24   
                            67412         24   
                            73719         24   
                            75809         24   
                            80199         24   
                            80329         24   
                            84235         24   
                            85244         24   
                            86804         24   
                            97036         24   
                            01622         23   
                            15760         23   
                            21040         23   
                            23474         23   
                            23515         23   
                            25246         23   
                            25545         23   
                            26850         23   
                            27299         23   
                            27613         23   
                            28200         23   
                            28315         23   
                            31588         23   
                            41108         23   
                            41800         23   
                            42410         23   
                            57200         23   
                            60271         23   
                            70300         23   
                            76801         23   
                            86687         23   
                            95827         23   
                            00192         22   
                            11011         22   
                            15879         22   
                            21079         22   
                            21932         22   
                            26236         22   
                            28208         22   
                            38207         22   
                            40820         22   
                            43253         22   
                            64402         22   
                            65860         22   
                            65870         22   
                            65875         22   
                            75705         22   
                                    CPT      15:51 Tuesday, July 5, 2022   9

                            hcpcs    breast2016

                            75801         22   
                            75966         22   
                            76817         22   
                            81220         22   
                            86978         22   
                            90899         22   
                            92072         22   
                            97799         22   
                            98967         22   
                            11010         21   
                            16025         21   
                            20974         21   
                            22632         21   
                            22850         21   
                            24505         21   
                            25020         21   
                            25320         21   
                            25652         21   
                            26113         21   
                            26418         21   
                            26437         21   
                            26608         21   
                            27602         21   
                            29820         21   
                            30210         21   
                            38241         21   
                            43232         21   
                            50230         21   
                            57180         21   
                            57461         21   
                            58952         21   
                            64772         21   
                            70320         21   
                            85397         21   
                            86156         21   
                            86941         21   
                            87590         21   
                            91112         21   
                            94400         21   
                            95929         21   
                            99172         21   
                            00802         20   
                            17360         20   
                            25565         20   
                            25575         20   
                            26727         20   
                            27618         20   
                            27632         20   
                            27752         20   
                                    CPT      15:51 Tuesday, July 5, 2022  10

                            hcpcs    breast2016

                            27766         20   
                            29846         20   
                            29882         20   
                            30580         20   
                            40814         20   
                            42106         20   
                            42330         20   
                            51992         20   
                            57065         20   
                            63101         20   
                            65220         20   
                            67332         20   
                            67912         20   
                            67923         20   
                            69105         20   
                            76506         20   
                            81372         20   
                            84110         20   
                            87535         20   
                            92502         20   
                            92561         20   
                            92575         20   
                            93315         20   
                            97028         20   
                            99002         20   
                            22212         19   
                            23073         19   
                            25028         19   
                            26536         19   
                            26540         19   
                            27305         19   
                            27695         19   
                            28041         19   
                            28475         19   
                            29583         19   
                            36014         19   
                            36596         19   
                            41116         19   
                            46947         19   
                            50949         19   
                            56810         19   
                            58270         19   
                            64722         19   
                            65771         19   
                            73115         19   
                            74283         19   
                            76102         19   
                            81375         19   
                            85536         19   
                                    CPT      15:51 Tuesday, July 5, 2022  11

                            hcpcs    breast2016

                            86382         19   
                            86784         19   
                            88239         19   
                            90733         19   
                            92565         19   
                            11752         18   
                            15820         18   
                            20912         18   
                            21016         18   
                            21390         18   
                            21480         18   
                            22327         18   
                            23075         18   
                            23630         18   
                            24343         18   
                            24655         18   
                            27043         18   
                            27187         18   
                            27248         18   
                            27335         18   
                            27339         18   
                            27365         18   
                            27606         18   
                            27619         18   
                            27690         18   
                            30999         18   
                            31610         18   
                            33015         18   
                            33419         18   
                            33511         18   
                            41105         18   
                            57285         18   
                            58957         18   
                            64714         18   
                            67141         18   
                            76815         18   
                            77522         18   
                            80194         18   
                            81208         18   
                            83950         18   
                            85540         18   
                            86000         18   
                            86367         18   
                            86965         18   
                            88155         18   
                            92326         18   
                            92531         18   
                            95933         18   
                            15600         17   
                                    CPT      15:51 Tuesday, July 5, 2022  12

                            hcpcs    breast2016

                            22595         17   
                            23440         17   
                            25240         17   
                            25295         17   
                            26045         17   
                            26432         17   
                            27252         17   
                            27680         17   
                            31526         17   
                            32607         17   
                            35800         17   
                            38589         17   
                            47610         17   
                            50546         17   
                            57105         17   
                            60225         17   
                            64620         17   
                            65779         17   
                            66179         17   
                            66990         17   
                            69660         17   
                            72240         17   
                            77525         17   
                            85290         17   
                            92370         17   
                            92579         17   
                            92586         17   
                            93600         17   
                            94450         17   
                            95147         17   
                            96111         17   
                            15130         16   
                            15221         16   
                            15821         16   
                            22326         16   
                            22802         16   
                            23616         16   
                            24666         16   
                            26735         16   
                            26746         16   
                            27334         16   
                            27658         16   
                            28153         16   
                            31235         16   
                            32659         16   
                            38520         16   
                            43215         16   
                            44186         16   
                            45505         16   
                                    CPT      15:51 Tuesday, July 5, 2022  13

                            hcpcs    breast2016

                            58550         16   
                            63090         16   
                            63663         16   
                            64784         16   
                            67973         16   
                            68705         16   
                            69020         16   
                            72270         16   
                            75902         16   
                            78469         16   
                            78630         16   
                            81170         16   
                            82965         16   
                            86970         16   
                            87533         16   
                            87555         16   
                            87999         16   
                            89240         16   
                            92325         16   
                            95149         16   
                            95808         16   
                            95954         16   
                            96904         16   
                            01173         15   
                            01999         15   
                            15878         15   
                            19306         15   
                            20979         15   
                            21248         15   
                            21282         15   
                            22899         15   
                            23415         15   
                            23930         15   
                            25280         15   
                            26445         15   
                            26742         15   
