"pharm_class","pharm_subclass","gpi_group","gpi_class","gpi_subclass","ingredient_rxcui_name"
"Aminoglycosides","Aminoglycosides","07","00","00","amikacin"
"Aminoglycosides","Aminoglycosides",,,,"amikacin"
"Aminoglycosides","Aminoglycosides","07","00","00","gentamicin"
"Aminoglycosides","Aminoglycosides","07","00","00","kanamycin"
"Aminoglycosides","Aminoglycosides","07","00","00","neomycin"
"Aminoglycosides","Aminoglycosides","07","00","00","No ingredient mapped"
"Aminoglycosides","Aminoglycosides",,,,"No ingredient mapped"
"Aminoglycosides","Aminoglycosides","07","00","00","paromomycin"
"Aminoglycosides","Aminoglycosides","07","00","00","streptomycin"
"Aminoglycosides","Aminoglycosides","07","00","00","tobramycin"
"Analgesics-narcotic","Opioid Agonists","65","10","00","alfentanil"
"Analgesics-narcotic","Opioid Agonists","65","10","00","codeine"
"Analgesics-narcotic","Opioid Agonists","65","10","00","fentanyl"
"Analgesics-narcotic","Opioid Agonists","65","10","00","hydrocodone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","hydromorphone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","levorphanol"
"Analgesics-narcotic","Opioid Agonists","65","10","00","meperidine"
"Analgesics-narcotic","Opioid Agonists","65","10","00","methadone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","morphine"
"Analgesics-narcotic","Opioid Agonists","65","10","00","naltrexone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","No ingredient mapped"
"Analgesics-narcotic","Opioid Agonists",,,,"No ingredient mapped"
"Analgesics-narcotic","Opioid Agonists","65","10","00","oxycodone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","oxymorphone"
"Analgesics-narcotic","Opioid Agonists","65","10","00","propoxyphene"
"Analgesics-narcotic","Opioid Agonists","65","10","00","remifentanil"
"Analgesics-narcotic","Opioid Agonists",,,,"remifentanil"
"Analgesics-narcotic","Opioid Agonists","65","10","00","sodium chloride"
"Analgesics-narcotic","Opioid Agonists","65","10","00","sufentanil"
"Analgesics-narcotic","Opioid Agonists","65","10","00","tapentadol"
"Analgesics-narcotic","Opioid Agonists","65","10","00","tramadol"
"Analgesics-narcotic","Opioid Combinations","65","99","00","acetaminophen"
"Analgesics-narcotic","Opioid Combinations","65","99","10","acetaminophen"
"Analgesics-narcotic","Opioid Combinations","65","99","17","acetaminophen"
"Analgesics-narcotic","Opioid Combinations","65","99","20","acetaminophen"
"Analgesics-narcotic","Opioid Combinations","65","99","50","acetaminophen"
"Analgesics-narcotic","Opioid Combinations","65","99","00","aspirin"
"Analgesics-narcotic","Opioid Combinations","65","99","10","aspirin"
"Analgesics-narcotic","Opioid Combinations","65","99","10","butalbital"
"Analgesics-narcotic","Opioid Combinations","65","99","10","caffeine"
"Analgesics-narcotic","Opioid Combinations","65","99","10","codeine"
"Analgesics-narcotic","Opioid Combinations","65","99","15","fentanyl"
"Analgesics-narcotic","Opioid Combinations","65","99","17","hydrocodone"
"Analgesics-narcotic","Opioid Combinations","65","99","17","ibuprofen"
"Analgesics-narcotic","Opioid Combinations","65","99","00","No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","10","No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","15","No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","17","No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","18","No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","20","No ingredient mapped"
